type	from_id	from_name	post_message	picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes	likes_count_fb	comments_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
photo	62acd696a0fdb5eb635b6b8bf91535e56e24d4ac	0828646b12624d8251eaacb34a48de338d85787c		https://scontent.xx.fbcdn.net/hphotos-xpt1/v/t1.0-0/s130x130/12346588_10153814274188055_3686458430624429512_n.jpg?oh=370cb01416dd8fcb0eac231581a18fe5&oe=571DACAA	https://www.facebook.com/photo.php?fbid=10153814274188055&set=gm.1648813378702083&type=3	facebook.com	2015-12-09T13:38:40+0000	1449668320	2015-12-09 14:38:40	14	15	1	1	1	0	0	0	15	1645390789044342_1648813378702083	https://www.facebook.com/groups/1645390789044342/permalink/1648813378702083/
photo	62acd696a0fdb5eb635b6b8bf91535e56e24d4ac	0828646b12624d8251eaacb34a48de338d85787c	:)	https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-0/s130x130/12308691_10153814275188055_5120328331039688827_n.jpg?oh=781135b6cbe039fadbabca241143f5cf&oe=56EE8D04	https://www.facebook.com/photo.php?fbid=10153814275188055&set=gm.1648813768702044&type=3	facebook.com	2015-12-09T13:39:30+0000	1449668370	2015-12-09 14:39:30	1	2	0	0	0	0	0	0	1	1645390789044342_1648813768702044	https://www.facebook.com/groups/1645390789044342/permalink/1648813768702044/
video	a4464054c321a635280f05e036c51c31a79e8401	6542b94afa1a0247812a053b995302ae249f48ef	Erick García shared EL FINANCIERO_s video to the group: Labicbr paralelo.	https://scontent.xx.fbcdn.net/hvthumb-xfa1/v/t15.0-10/s130x130/11189088_10153370672348915_1601604983_n.jpg?oh=908f92859a530afd8e37a36098f04933&oe=56EE8F3B	https://www.facebook.com/ElFinancieroMx/videos/10153370668083915/	facebook.com	2015-12-09T11:11:59+0000	1449659519	2015-12-09 12:11:59	1	1	0	0	0	0	0	0	1	1645390789044342_1648789285371159	https://www.facebook.com/groups/1645390789044342/permalink/1648789285371159/
link	62acd696a0fdb5eb635b6b8bf91535e56e24d4ac	0828646b12624d8251eaacb34a48de338d85787c	Den Rey shared La Bioguia_s post to the group: Labicbr paralelo.	https://external.xx.fbcdn.net/safe_image.php?d=AQCkLribXzEOONLM&w=130&h=130&url=http%3A%2F%2Fcdna.labioguia.com%2Fimages%2Farticles%2F56608f21562f8.jpg&cfs=1&sx=64&sy=0&sw=246&sh=246	http://www.labioguia.com/notas/una-joven-de-23-anos-desarrollo-un-dron-que-detecta-la-contaminacion-en-el-aire	labioguia.com	2015-12-09T01:52:26+0000	1449625946	2015-12-09 02:52:26	8	9	0	0	0	0	0	0	8	1645390789044342_1648722695377818	https://www.facebook.com/groups/1645390789044342/permalink/1648722695377818/
photo	7e0db1e5737279bc37666264b922a349250edb3a	1a4eeec9e7eb0b6560a1a4a43f15e96ce4583996	Lembrei do #aetrepp:	https://scontent.xx.fbcdn.net/hphotos-xla1/v/t1.0-0/s130x130/12345534_1669300913326413_5000092439463620135_n.jpg?oh=0eafc581ada77699cd70b61bb4a938e5&oe=56D682AF	https://www.facebook.com/legadodacopanobrasil/photos/a.1457424331180740.1073741826.1451006558489184/1669300913326413/?type=3	facebook.com	2015-12-08T19:09:10+0000	1449601750	2015-12-08 20:09:10	3	3	4	4	4	0	0	0	7	1645390789044342_1648663858717035	https://www.facebook.com/groups/1645390789044342/permalink/1648663858717035/
status	b03e5deb551c6ebec5eaca68ead00b16ff56a42d	6d8381c84c4ed0c9fbab7ccc81b34ba656aed069	Gente! No pude resistir_ y me quedé unos días más no Brasil... Llegué hoy a Sao Paulo y me quedaré unas tres semanas más. Me gustaría ver a quienes estén aquí! Tienen planeado reunirse algún día? Por otro lado_ me gustaría conocer algunos centros de innovación/arte electrónico/casas culturales. Alguna recomendación?				2015-12-08T02:52:31+0000	1449543151	2015-12-08 03:52:31	13	13	25	25	13	12	0	16	54	1645390789044342_1648442312072523	https://www.facebook.com/groups/1645390789044342/permalink/1648442312072523/
status	3a6d7f19de7db3e8155fb78901bc9e97f89eb2b5	afe6e1ebcab2d359d26627e7de7d068eac419e77	Hola a todxs! Aquí les comparto el registro del proceso de _Aprender brincando_ =)				2015-12-08T15:37:07+0000	1449589027	2015-12-08 16:37:07	9	10	1	1	1	0	0	1	11	1645390789044342_1648618745388213	https://www.facebook.com/groups/1645390789044342/permalink/1648618745388213/
link	3882c0f85d1b804cfc20a817f3367b69061ceee4	5e7560ea28cd77007410935f3b16e2e25fe4d754	Algunas postales del formidable viaje.	https://external.xx.fbcdn.net/safe_image.php?d=AQBcVTsSvDz21cNW&w=130&h=130&url=https%3A%2F%2Fc2.staticflickr.com%2F6%2F5703%2F23468937242_8b68102c0e_b.jpg&cfs=1&sx=0&sy=0&sw=683&sh=683	https://www.flickr.com/photos/angelgriselectrico/albums/72157662051844736	flickr.com	2015-12-08T15:51:58+0000	1449589918	2015-12-08 16:51:58	13	13	0	0	0	0	0	0	13	1645390789044342_1648621705387917	https://www.facebook.com/groups/1645390789044342/permalink/1648621705387917/
status	2a87382d948abc9e94bb28de6d7585a85dc42359	62fd83dded945e1a23899be181e69ee6f426cabb	COMUNICADO: Esta confirmada a roda de conversa e apresentação  dos protótipos do LABiCBR no dia 09 no Emergências. Quem estiver aqui no Rio de Janeiro e quiser fazer a apresentação precisa me confirmar e passar o nome_ grupo e contato. Vou conduzir a roda com vocês_ já estou aqui no Rio. Preciso dessas confirmações com urgência no meu email:  laurabdemoraes@gmail.com				2015-12-06T19:58:57+0000	1449431937	2015-12-06 20:58:57	20	21	13	13	10	3	1	3	37	1645390789044342_1648140172102737	https://www.facebook.com/groups/1645390789044342/permalink/1648140172102737/
status	be96c3c406691e270640042e34eab46e503344e5	bbd58fcd5ed6f10377820683f4cab2f180ba9bd4	Hoy publico para Fundación Alternativas en El País. _Las ciudades como grandes repositorios de abundancia_ (Quizá el mejor ejemplo del mundo es Basurama :) )  [...] El problema de la escasez es la mejor coartada del capitalismo. En un escenario de escasez se impone el paradigma de la competición y la selección de los mejores. Mientras que en abundancia_ el instinto de conservación se diluye y la concentración de capitales deja de tener sentido_ generando una ola de redistribución.				2015-12-08T09:02:37+0000	1449565357	2015-12-08 10:02:37	8	8	1	1	1	0	0	1	10	1645390789044342_1648531282063626	https://www.facebook.com/groups/1645390789044342/permalink/1648531282063626/
